epoch,train_loss,train_rmsd,train_mdn,val_loss,val_rmsd,val_mdn,seconds
0,19.17226,18.21733,0.95493,17.31397,16.09011,1.22387,82.1
1,16.79490,15.84159,0.95331,15.09951,13.88592,1.21358,81.9
2,14.54089,13.58531,0.95558,13.83566,12.62465,1.21101,81.5
3,12.95296,11.98856,0.96441,12.64625,11.43140,1.21484,82.4
4,12.09969,11.10984,0.98985,11.95384,10.72012,1.23372,81.1
5,11.40112,10.40502,0.99610,11.05160,9.82962,1.22198,81.1
6,10.46716,9.46890,0.99825,10.48925,9.23312,1.25613,84.4
7,10.09459,9.09794,0.99665,10.08360,8.84333,1.24027,82.3
8,9.88117,8.88394,0.99723,9.59923,8.36710,1.23213,81.8
9,9.52129,8.52310,0.99819,9.69689,8.45452,1.24236,81.6
10,9.34567,8.35721,0.98846,9.40687,8.18392,1.22295,81.2
11,9.35746,8.36762,0.98984,9.36724,8.14144,1.22580,81.2
12,9.17567,8.18876,0.98690,9.43844,8.21306,1.22538,81.4
13,9.09257,8.10453,0.98804,9.31683,8.09428,1.22255,81.1
14,8.98916,8.00311,0.98605,9.24967,8.02138,1.22829,82.0
15,8.93104,7.94552,0.98552,9.31768,8.09667,1.22102,81.5
16,8.91392,7.92375,0.99017,9.16850,7.92963,1.23887,81.3
17,8.81783,7.82855,0.98927,9.20887,7.95464,1.25422,81.3
18,8.78476,7.79530,0.98946,9.13921,7.90990,1.22931,81.8
19,8.58099,7.59110,0.98990,9.07450,7.84075,1.23374,82.2
20,8.48242,7.48225,1.00016,8.82813,7.58780,1.24033,81.9
21,8.41105,7.41320,0.99785,8.79830,7.56197,1.23632,81.5
22,8.24049,7.24047,1.00002,8.59324,7.35349,1.23976,81.7
23,8.06456,7.05708,1.00747,8.63059,7.39216,1.23843,81.2
24,7.85772,6.84683,1.01089,8.36296,7.11597,1.24698,81.7
25,7.64879,6.64081,1.00799,8.23849,6.98934,1.24915,81.7
26,7.49887,6.48508,1.01380,8.01691,6.76890,1.24801,81.5
27,7.15081,6.13435,1.01646,8.08323,6.83292,1.25031,81.5
28,7.12155,6.09862,1.02293,7.83919,6.58042,1.25876,81.6
29,6.96332,5.93469,1.02863,7.78537,6.53241,1.25296,81.3
30,6.78431,5.75863,1.02568,7.74138,6.48254,1.25884,81.1
31,6.74848,5.72310,1.02538,7.66724,6.40745,1.25978,80.7
