complex_id,dataset,pose_rank,rmsd,rmsd_lt2,rmsd_lt1,ligand_file,protein_file
3ix2_AC2_A_302,proto_test,1,0.5817,True,True,3ix2_AC2_A_302_ligand_refined.sdf,3ix2_AC2_A_302_protein_refined.pdb
3ix2_AC2_B_302,proto_test,1,0.8359,True,True,3ix2_AC2_B_302_ligand_refined.sdf,3ix2_AC2_B_302_protein_refined.pdb
3ix2_AC2_C_302,proto_test,1,0.7299,True,True,3ix2_AC2_C_302_ligand_refined.sdf,3ix2_AC2_C_302_protein_refined.pdb
4jdf_SPD_A_401,proto_test,1,0.5345,True,True,4jdf_SPD_A_401_ligand_refined.sdf,4jdf_SPD_A_401_protein_refined.pdb
5qtv_QLS_A_301,proto_test,1,0.7409,True,True,5qtv_QLS_A_301_ligand_refined.sdf,5qtv_QLS_A_301_protein_refined.pdb
5qtw_QLM_A_301,proto_test,1,0.6809,True,True,5qtw_QLM_A_301_ligand_refined.sdf,5qtw_QLM_A_301_protein_refined.pdb
5qtx_QLD_A_301,proto_test,1,1.2045,True,False,5qtx_QLD_A_301_ligand_refined.sdf,5qtx_QLD_A_301_protein_refined.pdb
5qty_QLJ_A_301,proto_test,1,1.1235,True,False,5qty_QLJ_A_301_ligand_refined.sdf,5qty_QLJ_A_301_protein_refined.pdb
5qtz_QMY_A_601,proto_test,1,0.8467,True,True,5qtz_QMY_A_601_ligand_refined.sdf,5qtz_QMY_A_601_protein_refined.pdb
5qu0_QMV_A_601,proto_test,1,2.577,False,False,5qu0_QMV_A_601_ligand_refined.sdf,5qu0_QMV_A_601_protein_refined.pdb
5qur_LZ1_A_401,proto_test,1,0.1337,True,True,5qur_LZ1_A_401_ligand_refined.sdf,5qur_LZ1_A_401_protein_refined.pdb
5qus_LZ1_A_401,proto_test,1,0.1375,True,True,5qus_LZ1_A_401_ligand_refined.sdf,5qus_LZ1_A_401_protein_refined.pdb
5qut_LZ1_A_401,proto_test,1,0.1187,True,True,5qut_LZ1_A_401_ligand_refined.sdf,5qut_LZ1_A_401_protein_refined.pdb
5ree_T1M_A_404,proto_test,1,1.258,True,False,5ree_T1M_A_404_ligand_refined.sdf,5ree_T1M_A_404_protein_refined.pdb
5rfa_JGY_A_403,proto_test,1,1.2979,True,False,5rfa_JGY_A_403_ligand_refined.sdf,5rfa_JGY_A_403_protein_refined.pdb
5rgv_UGG_A_1001,proto_test,1,0.8543,True,True,5rgv_UGG_A_1001_ligand_refined.sdf,5rgv_UGG_A_1001_protein_refined.pdb
5rgx_UGP_A_1001,proto_test,1,1.8382,True,False,5rgx_UGP_A_1001_ligand_refined.sdf,5rgx_UGP_A_1001_protein_refined.pdb
5rh2_UH7_A_1001,proto_test,1,1.2667,True,False,5rh2_UH7_A_1001_ligand_refined.sdf,5rh2_UH7_A_1001_protein_refined.pdb
5rh3_UHA_A_1001,proto_test,1,1.3614,True,False,5rh3_UHA_A_1001_ligand_refined.sdf,5rh3_UHA_A_1001_protein_refined.pdb
5rhd_US7_A_408,proto_test,1,1.0832,True,False,5rhd_US7_A_408_ligand_refined.sdf,5rhd_US7_A_408_protein_refined.pdb
5s75_LU8_B_501,proto_test,1,1.4534,True,False,5s75_LU8_B_501_ligand_refined.sdf,5s75_LU8_B_501_protein_refined.pdb
5s75_LU8_A_508,proto_test,1,1.7647,True,False,5s75_LU8_A_508_ligand_refined.sdf,5s75_LU8_A_508_protein_refined.pdb
5s75_LU8_A_509,proto_test,1,3.739,False,False,5s75_LU8_A_509_ligand_refined.sdf,5s75_LU8_A_509_protein_refined.pdb
5s75_LU8_A_501,proto_test,1,1.3974,True,False,5s75_LU8_A_501_ligand_refined.sdf,5s75_LU8_A_501_protein_refined.pdb
5s76_LU8_A_508,proto_test,1,4.5018,False,False,5s76_LU8_A_508_ligand_refined.sdf,5s76_LU8_A_508_protein_refined.pdb
